"(PDH-CSV 4.0) (Pacific Daylight Time)(420)","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk Queue Length","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Read","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Transfer","\\WIN2012R2\LogicalDisk(_Total)\Avg. Disk sec/Write","\\WIN2012R2\MSSQL$SQL2014:Memory Manager\Memory Grants Pending","\\WIN2012R2\MSSQL$SQL2014:Memory Manager\Granted Workspace Memory (KB)","\\WIN2012R2\MSSQL$SQL2014:SQL Statistics\Batch Requests/sec","\\WIN2012R2\Process(sqlservr)\% Processor Time","\\WIN2012R2\Processor(_Total)\% Processor Time"
"04/08/2015 23:54:13.025","0.042732248787546286","0","0.0021700000000000001","0.0021700000000000001","0","0","0","0","0.00013784596383237258"
"04/08/2015 23:54:14.025","0.0008000054400369922","0","0.00040000000000000002","0.00040000000000000002","0","0","0","0","0"
"04/08/2015 23:54:15.025","0.00099998470023408641","0","0.00050000000000000001","0.00050000000000000001","0","0","0","0","0.0015299765913634467"
"04/08/2015 23:54:16.016","0.036757774446015405","0","0.00095789473684210528","0.00095789473684210528","0","0","64.658971912243629","1.5778577629642601","0.98942032484784503"
"04/08/2015 23:54:17.000","0.039402715761096462","0","0.0029846153846153846","0.0029846153846153846","0","0","0","0","0.033380599666676947"
"04/08/2015 23:54:18.016","0.0041353341261359611","0","0.00041999999999999996","0.00041999999999999996","0","0","0","0","0.0012209081705738534"
"04/08/2015 23:54:19.000","0.00091429509524364389","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
"04/08/2015 23:54:20.016","0.0008861546314231811","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
"04/08/2015 23:54:21.001","0.054207612109006029","0.010633333333333333","0.0013692307692307693","0.00059722222222222219","0","0","97.446723287949894","9.5167858337440361","5.6252071487049804"
"04/08/2015 23:54:22.017","0.023040056713985759","0","0.00097500000000000006","0.00097500000000000006","0","0","0","0","0"
"04/08/2015 23:54:23.001","0.0049777701926041508","0","0.00044545454545454543","0.00044545454545454543","0","0","0","0","0.39698225221752592"
"04/08/2015 23:54:24.017","0.00088615471867541529","0","0.00044999999999999999","0.00044999999999999999","0","0","0","0","0"
